Type,Value,Days,Delay
Total,Total,42,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,41,NOTICE_SYMPTOMS
Race,WHITE,45,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,28,NOTICE_SYMPTOMS
Total,Total,36,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,36,INFERRING_ILLNESS
Race,WHITE,37,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,35,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,45,INFERRING_ILLNESS
Total,Total,140,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,142,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,125,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,246,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,53,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,53,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,52,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,47,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,92,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,27,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,27,DETERMINE_SCREENING_NEED
Race,WHITE,26,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,24,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,51,DETERMINE_SCREENING_NEED
