Type,Value,Days,Delay
Total,Total,45,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,42,NOTICE_SYMPTOMS
Race,WHITE,50,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,49,NOTICE_SYMPTOMS
Total,Total,36,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,33,INFERRING_ILLNESS
Race,WHITE,40,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,30,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,66,INFERRING_ILLNESS
Total,Total,145,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,164,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,129,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,253,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,52,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,52,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,53,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,47,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,88,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,25,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,24,DETERMINE_SCREENING_NEED
Race,WHITE,25,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,21,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,48,DETERMINE_SCREENING_NEED
