Type,Value,Days,Delay
Total,Total,50,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,49,NOTICE_SYMPTOMS
Race,WHITE,53,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,53,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,37,NOTICE_SYMPTOMS
Total,Total,39,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,38,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,35,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,59,INFERRING_ILLNESS
Total,Total,153,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,154,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,149,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,254,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,66,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,69,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,60,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,57,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,131,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,29,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,28,DETERMINE_SCREENING_NEED
Race,WHITE,32,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,26,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,53,DETERMINE_SCREENING_NEED
