Type,Value,Days,Delay
Total,Total,53,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,53,NOTICE_SYMPTOMS
Race,WHITE,55,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,53,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,54,NOTICE_SYMPTOMS
Total,Total,37,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,35,INFERRING_ILLNESS
Race,WHITE,42,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,67,INFERRING_ILLNESS
Total,Total,128,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,124,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,139,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,120,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,188,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,60,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,55,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,73,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,56,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,91,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,33,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,33,DETERMINE_SCREENING_NEED
Race,WHITE,33,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,28,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,74,DETERMINE_SCREENING_NEED
