Type,Value,Days,Delay
Total,Total,23,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,23,NOTICE_SYMPTOMS
Race,WHITE,22,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,23,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,23,NOTICE_SYMPTOMS
Total,Total,41,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,41,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,34,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,83,INFERRING_ILLNESS
Total,Total,88,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,92,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,78,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,79,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,146,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,38,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,38,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,39,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,35,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,61,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,20,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,18,DETERMINE_SCREENING_NEED
Race,WHITE,27,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,18,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,35,DETERMINE_SCREENING_NEED
