Type,Value,Days,Delay
Total,Total,42,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,42,NOTICE_SYMPTOMS
Race,WHITE,42,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,42,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,42,NOTICE_SYMPTOMS
Total,Total,35,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,33,INFERRING_ILLNESS
Race,WHITE,40,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,31,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,62,INFERRING_ILLNESS
Total,Total,129,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,133,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,119,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,124,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,163,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,54,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,53,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,55,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,47,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,99,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,24,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,24,DETERMINE_SCREENING_NEED
Race,WHITE,23,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,22,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,37,DETERMINE_SCREENING_NEED
