Type,Value,Days,Delay
Total,Total,42,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,42,NOTICE_SYMPTOMS
Race,WHITE,42,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,43,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,37,NOTICE_SYMPTOMS
Total,Total,40,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,39,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,31,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,89,INFERRING_ILLNESS
Total,Total,125,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,131,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,113,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,118,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,187,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,52,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,50,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,59,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,48,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,86,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,23,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,22,DETERMINE_SCREENING_NEED
Race,WHITE,24,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,22,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,27,DETERMINE_SCREENING_NEED
