Type,Value,Days,Delay
Total,Total,25,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,24,NOTICE_SYMPTOMS
Race,WHITE,26,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,25,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,22,NOTICE_SYMPTOMS
Total,Total,37,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,35,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,65,INFERRING_ILLNESS
Total,Total,90,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,91,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,87,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,83,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,129,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,34,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,34,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,33,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,29,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,64,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,18,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,18,DETERMINE_SCREENING_NEED
Race,WHITE,17,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,16,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,32,DETERMINE_SCREENING_NEED
