Type,Value,Days,Delay
Total,Total,42,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,44,NOTICE_SYMPTOMS
Race,WHITE,38,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,41,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,47,NOTICE_SYMPTOMS
Total,Total,38,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,36,INFERRING_ILLNESS
Race,WHITE,42,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,72,INFERRING_ILLNESS
Total,Total,148,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,156,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,130,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,237,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,50,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,48,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,55,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,49,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,64,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,25,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,25,DETERMINE_SCREENING_NEED
Race,WHITE,26,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,22,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,49,DETERMINE_SCREENING_NEED
