Type,Value,Days,Delay
Total,Total,36,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,35,NOTICE_SYMPTOMS
Race,WHITE,36,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,35,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,41,NOTICE_SYMPTOMS
Total,Total,38,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,36,INFERRING_ILLNESS
Race,WHITE,43,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,33,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,65,INFERRING_ILLNESS
Total,Total,118,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,123,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,105,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,108,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,177,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,43,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,46,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,35,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,39,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,71,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,21,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,21,DETERMINE_SCREENING_NEED
Race,WHITE,20,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,18,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,38,DETERMINE_SCREENING_NEED
