Type,Value,Days,Delay
Total,Total,38,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,39,NOTICE_SYMPTOMS
Race,WHITE,34,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,37,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,39,NOTICE_SYMPTOMS
Total,Total,37,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,36,INFERRING_ILLNESS
Race,WHITE,40,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,34,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,59,INFERRING_ILLNESS
Total,Total,113,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,116,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,106,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,104,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,169,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,48,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,48,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,49,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,75,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,24,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,26,DETERMINE_SCREENING_NEED
Race,WHITE,21,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,21,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,48,DETERMINE_SCREENING_NEED
