Type,Value,Days,Delay
Total,Total,37,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,35,NOTICE_SYMPTOMS
Race,WHITE,43,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,36,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,40,NOTICE_SYMPTOMS
Total,Total,38,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,39,INFERRING_ILLNESS
Race,WHITE,35,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,33,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,67,INFERRING_ILLNESS
Total,Total,120,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,110,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,150,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,119,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,125,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,56,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,54,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,62,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,134,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,25,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,24,DETERMINE_SCREENING_NEED
Race,WHITE,30,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,22,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,46,DETERMINE_SCREENING_NEED
