Type,Value,Days,Delay
Total,Total,43,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,40,NOTICE_SYMPTOMS
Race,WHITE,50,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,35,NOTICE_SYMPTOMS
Total,Total,36,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,36,INFERRING_ILLNESS
Race,WHITE,36,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,58,INFERRING_ILLNESS
Total,Total,131,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,142,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,102,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,125,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,163,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,56,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,62,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,41,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,49,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,101,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,28,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,27,DETERMINE_SCREENING_NEED
Race,WHITE,31,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,25,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,47,DETERMINE_SCREENING_NEED
