Type,Value,Days,Delay
Total,Total,43,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,40,NOTICE_SYMPTOMS
Race,WHITE,50,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,41,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,54,NOTICE_SYMPTOMS
Total,Total,34,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,31,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,29,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,62,INFERRING_ILLNESS
Total,Total,124,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,119,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,137,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,106,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,241,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,47,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,41,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,63,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,44,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,72,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,23,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,23,DETERMINE_SCREENING_NEED
Race,WHITE,22,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,21,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,38,DETERMINE_SCREENING_NEED
