Type,Value,Days,Delay
Total,Total,22,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,22,NOTICE_SYMPTOMS
Race,WHITE,23,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,24,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,15,NOTICE_SYMPTOMS
Total,Total,34,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,33,INFERRING_ILLNESS
Race,WHITE,38,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,46,INFERRING_ILLNESS
Total,Total,90,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,91,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,86,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,80,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,139,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,34,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,35,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,31,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,30,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,55,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,16,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,16,DETERMINE_SCREENING_NEED
Race,WHITE,15,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,14,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,23,DETERMINE_SCREENING_NEED
