Type,Value,Days,Delay
Total,Total,45,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,46,NOTICE_SYMPTOMS
Race,WHITE,42,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,48,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,27,NOTICE_SYMPTOMS
Total,Total,35,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,37,INFERRING_ILLNESS
Race,WHITE,33,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,33,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,51,INFERRING_ILLNESS
Total,Total,141,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,152,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,110,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,111,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,354,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,57,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,56,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,58,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,51,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,95,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,23,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,23,DETERMINE_SCREENING_NEED
Race,WHITE,24,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,19,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,51,DETERMINE_SCREENING_NEED
