Type,Value,Days,Delay
Total,Total,46,NOTICE_SYMPTOMS
Race,AFRICAN_AMERICAN,45,NOTICE_SYMPTOMS
Race,WHITE,46,NOTICE_SYMPTOMS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,43,NOTICE_SYMPTOMS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,58,NOTICE_SYMPTOMS
Total,Total,39,INFERRING_ILLNESS
Race,AFRICAN_AMERICAN,38,INFERRING_ILLNESS
Race,WHITE,41,INFERRING_ILLNESS
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,32,INFERRING_ILLNESS
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,75,INFERRING_ILLNESS
Total,Total,132,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,AFRICAN_AMERICAN,124,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Race,WHITE,154,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,122,DECIDE_TO_SEEK_MEDICAL_ATTENTION
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,188,DECIDE_TO_SEEK_MEDICAL_ATTENTION
Total,Total,60,SCHEDULE_DOCTOR_APPOINTMENT
Race,AFRICAN_AMERICAN,64,SCHEDULE_DOCTOR_APPOINTMENT
Race,WHITE,49,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,50,SCHEDULE_DOCTOR_APPOINTMENT
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,115,SCHEDULE_DOCTOR_APPOINTMENT
Total,Total,27,DETERMINE_SCREENING_NEED
Race,AFRICAN_AMERICAN,29,DETERMINE_SCREENING_NEED
Race,WHITE,23,DETERMINE_SCREENING_NEED
HealthInsurance,COVERED_BY_HEALTH_INSURANCE,24,DETERMINE_SCREENING_NEED
HealthInsurance,NOT_COVERED_BY_HEALTH_INSURANCE,47,DETERMINE_SCREENING_NEED
